Category,Name,ID,Level,Event Log,Event Source,
"Clearing Event Logs","Event Log was Cleared","1102","Information","Security","Microsoft-Windows-Eventlog",
"DNS/Directory Services","Directory service created","5137","Information","Security","Microsoft-Windows-Security-Auditing",
"DNS/Directory Services","Directory service deleted","5141","Information","Security","Microsoft-Windows-Security-Auditing",
"DNS/Directory Services","Directory service modified","5136","Information","Security","Microsoft-Windows-Security-Auditing",
"DNS/Directory Services","Directory service moved","5139","Information","Security","Microsoft-Windows-Security-Auditing",
"DNS/Directory Services","Directory service recovered","5138","Information","Security","Microsoft-Windows-Security-Auditing",
"DNS/Directory Services","DNS Query Complete","3008","Information","Microsoft-Windows-DNS-Client/Operational","Microsoft-Windows-DNS-Client",
"DNS/Directory Services","DNS Request/Response","256, 257","Information","Microsoft-Windows-DNSServer/Analytical","Microsoft-Windows-DNSServer",
"DNS/Directory Services","DNS Response Complete","3020","Information","Microsoft-Windows-DNS-Client/Operational","Microsoft-Windows-DNS-Client",
"External Media Detection","New Device Information","43","Information","Microsoft-Windows-USB-USBHUB3-Analytic","Microsoft-Windows-USB-USBHUB3",
"External Media Detection","New Mass Storage Installation","400, 410","Information","Microsoft-Windows-Kernel-PnP/Device Configuration","Microsoft-Windows-Kernel-PnP",
"Group Policy Errors","Generic Internal Error","1126","Error","System","Microsoft-Windows-GroupPolicy",
"Group Policy Errors","Group Policy Application Failed due to Connectivity","1129","Error","System","Microsoft-Windows-GroupPolicy",
"Group Policy Errors","Internal Error","1125","Error","System","Microsoft-Windows-GroupPolicy",
"Kernel Driver Signing","Code Integrity Check","3001, 3002, 3003, 3004, 3010, 3023","Warning, Error","Microsoft-Windows-CodeIntegrity/Operational","Microsoft-Windows-CodeIntegrity",
"Kernel Driver Signing","Detected an invalid image hash of a file","5038","Information","Security","Microsoft-Windows-Security-Auditing",
"Kernel Driver Signing","Detected an invalid page hash of an image file","6281","Information","Security","Microsoft-Windows-Security-Auditing",
"Kernel Driver Signing","Failed Kernel Driver Loading","219","Warning","System","Microsoft-Windows-Kernel-PnP",
"Microsoft Cryptography API","Cert Trust Chain Build Failed","11","Information","Microsoft-Windows-CAPI2/Operational","Microsoft-Windows-CAPI2",
"Microsoft Cryptography API","Private Key Accessed","70","Information","Microsoft-Windows-CAPI2/Operational","Microsoft-Windows-CAPI2",
"Microsoft Cryptography API","X.509 Object","90","Information","Microsoft-Windows-CAPI2/Operational","Microsoft-Windows-CAPI2",
"Mobile Device Activities","Disconnect from Wireless connection","8003","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Network Connection and Disconnection Status (Wired and Wireless)","10000, 10001","Information","Microsoft-Windows-NetworkProfile/Operational","Microsoft-Windows-NetworkProfile",
"Mobile Device Activities","Starting a Wireless connection","8000, 8011","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Successfully connected to a Wireless connection","8001","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Association Status","11000, 11001","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Association Status","11002","Error","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Authentication Started and Failed","12011, 12012","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Authentication Started and Failed","12013","Error","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Connection Failed","8002","Error","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Security Started, Stopped, Successful, or Failed","11004, 11005","Information","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
"Mobile Device Activities","Wireless Security Started, Stopped, Successful, or Failed","11010, 11006","Error","Microsoft-Windows-WLAN-AutoConfig/Operational","Microsoft-Windows-WLAN-AutoConfig",
